title,description,issue,volume,series,publisher,date,creators,format,value
"Super Sons of Tomorrow - Super Sons of Tomorrow, Finale: Last Minute Saved",Regular Giuseppe Camuncoli Cover,12A,1,Super Sons,DC Comics,2018-01-26,Patrick Gleason | Peter J. Tomasi | Tyler Kirkham,,0
"The Parent Trap, Blood Relative",Regular Jorge Jimenez Cover,14A,1,Super Sons,DC Comics,2018-05-17,Peter J. Tomasi | Carlo Barberi | Art Thibert,,0
N/A,Regular Jorge Jimenez Cover,15A,1,Super Sons,DC Comics,2018-05-17,Peter J. Tomasi | Carlo Barberi | Art Thibert,,0
"End of Innocence, Part Two",Regular Jorge Jimenez Cover,16A,1,Super Sons,DC Comics,2018-06-04,Peter J. Tomasi | Brent Peeples | Carlo Barberi,,0
Animal Planet,Regular Jorge Jimenez and Alejandro Sanchez Cover,1,1,Super Sons Annual,DC Comics,2018-05-17,Peter J. Tomasi | Paul Pelletier | Cam Smith,,0
N/A,Regular Fernando Pasarin & Oclair Albert Cover,1A,1,Super Sons: Dynomutt Special,DC Comics,2018-06-08,Peter J. Tomasi | Fernando Pasarin | Oclair Albert,,0
Galactus,N/A,1,1,Super-Villain Classics,Marvel Comics,2014-02-23,Stan Lee | Jack Kirby | George Klein,,0
Superboy's Greatest Gamble,N/A,148,1,Superboy,DC Comics,2014-02-23,Leo Dorfman | Douglas Curtis Swan,,0
But Am It Art?,N/A,8,2,Superboy,DC Comics,2014-02-23,John Francis Moore | Jim Mooney | Arthur Adams,,0
Sidearm One! Superboy Zero!,N/A,0,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Tom Grummett | Dennis Janke,,0
Trouble In Paradise,N/A,1,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Tom Grummett | Doug Hazlewood,,0
Live By The Sword... Die By The Sword,N/A,5,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Tom Grummett | Doug Hazlewood,,0
World's Collide - Part 3: Changing Realities!,N/A,6,3,Superboy,DC Comics,2014-02-23,Steve Mattsson | Karl Kesel | Tom Grummett,,0
World's Collide - Part 8: Menace 2 Societies,N/A,7,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Tom Grummett | Doug Hazlewood,,0
Zero Hour - Big Trouble In Smallville,N/A,8,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Tom Grummett | Dan Davis,,0
King Shark,N/A,9,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Humberto Ramos | Ande Parks,,0
Hilo Monsters!,N/A,10,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Humberto Ramos | Ande Parks,,0
Realities Bites,N/A,11,3,Superboy,DC Comics,2014-02-23,Eddie Berganza | Tom Grummett | Dan Davis,,0
Compound Troubles,N/A,12,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Tom Grummett | Doug Hazlewood,,0
"Watery Grave, Part 1: Suicidal Tendencies",N/A,13,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Tom Grummett | Doug Hazlewood,,0
"Watery Grave, Part 2: Kill Them All",N/A,14,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Tom Grummett | Stan Woch,,0
"Watery Grave, Part 3: Honor Among Thieves",N/A,15,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Kevin J. West | Ande Parks,,0
School And Hard Knocks,N/A,16,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Tom Grummett | Stan Woch,,0
Neon,N/A,17,3,Superboy,DC Comics,2014-02-23,Karl Kesel | Tom Grummett | Doug Hazlewood,,0
"Elseworlds - The Super Seven, Part 2: Men Of Steel",N/A,1,3 Annual,Superboy,DC Comics,2014-02-23,Karl Kesel | Greg Luzniak | Ande Parks,,0
"Futures End, Super",3-D Motion Edition,1A,1,Superboy: Futures End,DC Comics,2014-10-04,Frank J. Barbiere | Ben Caldwell,,0
Something In The Blood,N/A,3,1,Supercops,Now Comics,2014-02-23,Chuck Dixon | Peter Grau | Enrique Villagran,,0
N/A,Regular Emanuela Lupacchino Cover,1A,1,Supergirl Rebirth,DC Comics,2017-02-24,Steve Orlando | Emanuela Lupacchino | Ray McCarthy,,0
Trial Run,N/A,1,3,Supergirl,DC Comics,2014-02-23,Roger Stern | June Brigman | Jackson Guice,,0
Demands,N/A,2,3,Supergirl,DC Comics,2014-02-23,Roger Stern | June Brigman | Jackson Guice,,0
End Of Innocence,N/A,3,3,Supergirl,DC Comics,2014-02-23,Roger Stern | June Brigman | Jackson Guice,,0
The Big Hurt,N/A,4,3,Supergirl,DC Comics,2014-02-23,Roger Stern | June Brigman | Jackson Guice,,0
Body & Soul,N/A,1A,4,Supergirl,DC Comics,2014-02-23,Peter David | Gary Frank | Cam Smith,,0
Cat's Paw,N/A,2,4,Supergirl,DC Comics,2014-02-23,Peter David | Gary Frank | Cam Smith,,0
Final Night - And No Dawn To Follow The Darkness,N/A,3,4,Supergirl,DC Comics,2014-02-23,Peter David | Gary Frank | Cam Smith,,0
"Power, Chapter Two: Teen Titans",N/A,2A,5,Supergirl,DC Comics,2014-02-23,Jeph Loeb | Ian Churchill | Norm Rapmund,,0
"Power, Chapter Three: Outsiders",N/A,3A,5,Supergirl,DC Comics,2014-02-23,Jeph Loeb | Ian Churchill | Norm Rapmund,,0
"Power, Chapter Four: Jla",Variant Cover,4B,5,Supergirl,DC Comics,2014-02-23,Jeph Loeb | Ian Churchill | Norm Rapmund,,0
"Candor, Part One",N/A,6A,5,Supergirl,DC Comics,2014-02-23,Greg Rucka | Ed Benes | Norm Rapmund,,0
"Candor, Part Two",N/A,7,5,Supergirl,DC Comics,2014-02-23,Greg Rucka | Joe Kelly | Ian Churchill,,0
"Candor, Part Three",N/A,8,5,Supergirl,DC Comics,2014-02-23,Joe Kelly | Ron Adrian | Norm Rapmund,,0
Secret Identities,N/A,10,5,Supergirl,DC Comics,2014-02-23,Joe Kelly | Ian Churchill | Norm Rapmund,,0
Fish Out Of Water,N/A,11,5,Supergirl,DC Comics,2014-02-23,Joe Kelly | Joe Benitez | Victor Llamas,,0
Rock On!,N/A,12,5,Supergirl,DC Comics,2014-02-23,Justin Gray | Jimmy Palmiotti | Amanda Conner,,0
Love At First Sight,N/A,13,5,Supergirl,DC Comics,2014-02-23,Joe Kelly | Ian Churchill | Norm Rapmund,,0
Love The Ones We Hurt,N/A,15,5,Supergirl,DC Comics,2014-02-23,Joe Kelly | Ian Churchill | Norm Rapmund,,0
Last Daughter Of Krypton,Mahmud A. Asrar Regular Cover,1A,6,Supergirl,DC Comics,2014-02-23,Michael Green | Mike Johnson | Mahmud A. Asrar,,0
Reunion,N/A,2,6,Supergirl,DC Comics,2014-02-23,Michael Green | Mike Johnson | Mahmud A. Asrar,,0
Memento,N/A,3,6,Supergirl,DC Comics,2014-02-23,Michael Green | Mike Johnson | Bill Reinhold,,0
Graduation Day,N/A,7,6,Supergirl,DC Comics,2014-02-23,Michael Green | Mike Johnson | Mahmud A. Asrar,,0
Girl In The World,N/A,8,6,Supergirl,DC Comics,2014-02-23,Michael Green | Mike Johnson | George Pérez,,0
Like Daughter,N/A,9,6,Supergirl,DC Comics,2014-02-23,Michael Green | Mike Johnson | Mahmud A. Asrar,,0
Superman Doomed - [Last Son],N/A,34,6,Supergirl,DC Comics,2014-09-01,Tony Bedard | Karl Moline | José Marzan Jr.,,0
"Reign of the Cyborg Superman, Part One",Regular Brian Ching Cover,1A,7,Supergirl,DC Comics,2017-02-24,Steve Orlando | Brian Ching,,0
"Reign of the Cyborg Superman, Part Two",Variant Bengal Cover,2B,7,Supergirl,DC Comics,2017-02-24,Steve Orlando | Brian Ching,,0
"Reign of the Cyborg Superman, Part Three",Regular Brian Ching Cover,3A,7,Supergirl,DC Comics,2017-02-24,Steve Orlando | Brian Ching,,0
Reign of the Cyborg Superman,Regular Brian Ching Cover,4A,7,Supergirl,DC Comics,2017-02-24,Steve Orlando | Brian Ching,,0
N/A,Variant Bengal Cover,6B,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Brian Ching,,0
Mission: Mind,Regular Emanuela Lupacchino Cover,7A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Matias Bergara,,0
Family of Tomorrow,Regular Emanuela Lupacchino & Ray McCarthy Cover,8A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Matias Bergara,,0
"Escape from the Phantom Zone, Part One",Regular Brian Ching Cover,9A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Brian Ching,,0
"Escape from the Phantom Zone, Part Two",Regular Robson Rocha & Daniel Henriques Cover,10A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Brian Ching,,0
"Escape from the Phantom Zone, Finale",Regular Robson Rocha & Daniel Henriques Cover,11A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Brian Ching,,0
"The Girl of No Tomorrow, Part One",Regular Robson Rocha & Daniel Henriques Cover,12A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Robson Rocha | Daniel Henriques,,0
"The Girl of No Tomorrow, The Girl of No Tomorrow Part 3",Regular Robson Rocha & Daniel Henriques Cover,13A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Robson Rocha | Daniel Henriques,,0
Heaven to Earth,Regular Jose Luis Cover,14A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | José Luis | Norm Rapmund,,0
"Plain Sight, Plain Sight Part One",Regular Robson Rocha & Daniel Henriques Cover,15A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Jody Houser | Robson Rocha,,0
"Plain Sight, Part Two",Regular Robson Rocha & Daniel Henriques Cover,16A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Jody Houser | Robson Rocha,,0
"Plain Sight, Part Three",Regular Robson Rocha & Daniel Henriques Cover,17A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Jody Houser | Julio Ferreira,,0
"Plain Sight, Finale",Regular Robson Rocha & Daniel Henriques Cover,18A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Jody Houser | Robson Rocha,,0
N/A,Regular Jorge Jimenez Cover,19A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Jamal Campbell,,0
Girl Of Tomorrow!,Regular Robson Rocha Cover,20A,7,Supergirl,DC Comics,2018-06-18,Steve Orlando | Jody Houser | Robson Rocha,,0
"The Killers of Krypton, Part One",Regular Terry Dodson Cover,21A,7,Supergirl,DC Comics,2019-01-19,Kevin Maguire | Sean Parsons,,0
"The Killers of Krypton, Part Two",Regular Terry Dodson Cover,22A,7,Supergirl,DC Comics,2019-06-20,Kevin Maguire | Sean Parsons,,0
"The Killers of Krypton, Part Three",Regular Stanley Artgerm Lau Enhanced Foil Cover,23A,7,Supergirl,DC Comics,2019-06-20,Marc Andreyko | Kevin Maguire | Wade von Grawbadger,,0
"""A (Super)girl Walks Into a Bar...""",Regular Evan Doc Shaner Cover,24A,7,Supergirl,DC Comics,2019-06-20,Marc Andreyko | Evan 'Doc' Shaner | Karl Kesel,,0
Picking Over The Bones / Z'ndr Kol and the Lost Colony / The Plourott,Regular Doug Mahnke & Jaime Mendoza Cover,25A,7,Supergirl,DC Comics,2019-06-20,Marc Andreyko | Dan Jurgens | Lan Medina,,0
Secrets and Lies,Regular Yanick Paquette Cover,26A,7,Supergirl,DC Comics,2019-06-20,Marc Andreyko | Kevin McGuire | Scott Hanna,,0
Collateral Damages,Regular Yanick Paquette Cover,27A,7,Supergirl,DC Comics,2019-06-21,Marc Andrekyo | Eduardo Pansica | Julio Ferreira,,0
Clone Wars,Regular Yanick Paquette Cover,28A,7,Supergirl,DC Comics,2019-06-21,Marc Andreyko | Eduardo Pansica | Julio Ferreira,,0
Crystal Clarity,Regular Yanick Paquette Cover,29A,7,Supergirl,DC Comics,2019-06-21,Marc Andreyko | Eduardo Pansica | Julio Ferreira,,0
N/A,Variant Amanda Conner Cover,30B,7,Supergirl,DC Comics,2019-06-21,Marc Andreyko | Kevin Maguire,,0
N/A,Variant Amanda Conner Cover,31B,7,Supergirl,DC Comics,2019-06-21,Marc Andreyko | Kevin Maguire | Eduardo Pansica,,0
"The House of El: United, Glass Houses",Regular Kevin Maguire Cover,32A,7,Supergirl,DC Comics,2019-07-18,Marc Andreyko | Kevin Maguire,,0
"""The House of El: United""",Regular Kevin Maguire Cover,33A,7,Supergirl,DC Comics,2019-09-20,Marc Andreyko | Kevin Maguire | Eduardo Pansica,,0
Year of the Villain: Evil Unleashed - Postmortem,Regular Jesus Merino Cover,34A,7,Supergirl,DC Comics,2019-11-22,Marc Andreyko | Eduardo Pansica | Julio Ferreira,,0
N/A,Variant Drew Johnson DCeased Cover,35B,7,Supergirl,DC Comics,2019-11-05,Marc Andreyko | Eduardo Pansica | Julio Ferreira,,0
N/A,Regular Dan Mora Acetate Cover,36A,7,Supergirl,DC Comics,2019-11-24,Marc Andreyko | Eduardo Pansica | Julio Ferreira,,0
I'm the Bad Guy,Regular Bengal Cover,37A,7,Supergirl,DC Comics,2020-06-19,Jody Houser | Rachael Stott,,0
"I'm the Bad Guy, Part 2",Regular Mike Perkins Cover,38A,7,Supergirl,DC Comics,2020-06-19,Jody Houser | Inaki Miranda | Rachael Stott,,0
"I'm the Bad Guy, Part 3",Regular Kevin Maguire Cover,39A,7,Supergirl,DC Comics,2020-06-19,Jody Houser | Rachael Stott,,0
"I'm the Bad Guy, Finale",Regular Joe Bennett Cover,40A,7,Supergirl,DC Comics,2020-06-19,Jody Houser | Rachael Stott | Rachael Scott,,0
N/A,N/A,1,7 Annual,Supergirl,DC Comics,2018-06-18,Steve Orlando | Steve Pugh,,0
N/A,N/A,2,7 Annual,Supergirl,DC Comics,2019-12-06,Robert Venditti | Laura Braga,,0
"Being Super, Where Do I Begin?",N/A,1,1,Supergirl: Being Super,DC Comics,2017-06-09,Mariko Tamaki | Joëlle Jones | Sandu Florea,,0
N/A,N/A,2,1,Supergirl: Being Super,DC Comics,2018-01-05,Mariko Tamaki | Joëlle Jones,,0
N/A,N/A,3,1,Supergirl: Being Super,DC Comics,2018-01-05,Mariko Tamaki | Joëlle Jones,,0
N/A,N/A,4,1,Supergirl: Being Super,DC Comics,2018-01-05,N/A,,0
"Futures End, The Perfect is the Enemy of the Good",3D Cover,1A,1,Supergirl: Futures End,DC Comics,2014-10-18,Tony Bedard | Emanuela Lupacchino | Ray McCarthy,,0
N/A,Regular Bilquis Evely Cover,1A,1,Supergirl: Woman of Tomorrow,DC Comics,2021-06-18,Thomas King | Bilquis Evely,,0
N/A,Regular Bilquis Evely Cover,2A,1,Supergirl: Woman of Tomorrow,DC Comics,2021-07-22,Thomas King | Bilquis Evely,,0
N/A,N/A,3A,1,Supergirl: Woman of Tomorrow,DC Comics,2021-08-20,Thomas King | Bilquis Evely,,0
N/A,Variant Rose Besch Cover,4B,1,Supergirl: Woman of Tomorrow,DC Comics,2021-09-24,Thomas King | Bilquis Evely,,0
"Chapter Five: The Lake, the Trees, and the Monsters",Amy Reeder Variant,5B,1,Supergirl: Woman of Tomorrow,DC Comics,2021-11-19,Thomas King | Bilquis Evely,,0
N/A,Regular Clayton Crain Cover,1A,1,Superior Carnage,Marvel Comics,2014-02-23,Kevin Shinick | Stephen Segovia,,0
N/A,Regular Clayton Crain Cover,2A,1,Superior Carnage,Marvel Comics,2014-02-23,Kevin Shinick | Stephen Segovia,,0
Hero Or Menace?,Regular Ryan Stegman Cover,1A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Ryan Stegman,,0
The Peter Principle,Regular Ryan Stegman Cover,2A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Ryan Stegman,,0
Everything You Know Is Wrong,Regular Ryan Stegman Cover,3A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Ryan Stegman,,0
The Aggressive Approach,Regular Giuseppe Camuncoli Cover,4A,1,Superior Spider-Man,Marvel Comics,2014-02-23,"Dan Slott | Giuseppe Camuncoli | John Dell, III",,0
Emotional Triggers,Regular Giuseppe Camuncoli Cover,5A,1,Superior Spider-Man,Marvel Comics,2014-02-23,"Dan Slott | Giuseppe Camuncoli | John Dell, III",,0
Joking Hazard,Regular Humberto Ramos Cover,6A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Humberto Ramos | Victor Olazaba,,0
Age of Ultron - Doomsday Scenario,Marco Checchetto Regular Cover,6AU,1,Superior Spider-Man,Marvel Comics,2014-02-23,Christos N. Gage | Dexter Soy,,0
"Troubled Mind, Part One: Right-Hand Man",N/A,7,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Humberto Ramos | Victor Olazaba,,0
"Troubled Mind, Part Two: Proof Positive",Regular Humberto Ramos Cover,8A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Humberto Ramos | Victor Olazaba,,0
"Troubled Mind, Part Three: Gray Matters",Regular Marcos Martin Cover,9A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Ryan Stegman,,0
Independence Day,N/A,10,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Ryan Stegman | Cam Smith,,0
"No Escape, Part One: A Lock For Every Key",N/A,11,1,Superior Spider-Man,Marvel Comics,2014-02-23,Christos N. Gage | Dan Slott | Giuseppe Camuncoli,,0
"No Escape, Part Two: Lockdown",N/A,12,1,Superior Spider-Man,Marvel Comics,2014-02-23,Christos N. Gage | Dan Slott | Giuseppe Camuncoli,,0
"No Escape, Part Three: The Slayers & The Slain",Regular Giuseppe Camuncoli Cover,13A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Christos N. Gage | Dan Slott | Giuseppe Camuncoli,,0
A Blind Eye,Giuseppe Camuncoli Regular Cover,14,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Humberto Ramos | Victor Olazaba,,0
"Run, Goblin, Run!, Part 1: The Tinkere's Apprentice",N/A,15,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Humberto Ramos | Victor Olazaba,,0
"Run, Goblin, Run!, Part 2",Regular Humberto Ramos Cover,16A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Humberto Ramos | Victor Olazaba,,0
"Run, Goblin, Run!",Humberto Ramos - Fan Expo Canada 2013 Exclusive Variant,16B,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Humberto Ramos | Victor Olazaba,,0
Let's Do The Time Warp Again,Regular Ryan Stegman Cover,17A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Ryan Stegman | John Livesay,,0
Smack To The Future,Regular Ryan Stegman Cover,18A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Ryan Stegman | John Livesay,,0
1.21 Giga-Whats?!,Regular Ryan Stegman Cover,19A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Ryan Stegman | John Livesay,,0
Spidey Still Standing,Regular Giuseppe Camuncoli Cover,20A,1,Superior Spider-Man,Marvel Comics,2014-02-23,"Dan Slott | Giuseppe Camuncoli | John Dell, III",,0
Lethal Ladies,Giuseppe Camuncoli Regular Cover,21,1,Superior Spider-Man,Marvel Comics,2014-02-23,"Dan Slott | Giuseppe Camuncoli | John Dell, III",,0
"Darkest Hours, Part 1: Beginnings",Regular Humberto Ramos Cover,22A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Christos N. Gage | Dan Slott | Humberto Ramos,,0
"Darkest Hours, Part 2",Regular Humberto Ramos Cover,23A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Christos N. Gage | Dan Slott | Humberto Ramos,,0
"Darkest Hours, Part 3",Regular Humberto Ramos Cover,24A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Christos N. Gage | Dan Slott | Humberto Ramos,,0
"Darkest Hours, Part 4",Regular Humberto Ramos Cover,25A,1,Superior Spider-Man,Marvel Comics,2014-02-23,Christos N. Gage | Dan Slott | Humberto Ramos,,0
Goblin Nation,Regular Ryan Stegman Cover,26,1,Superior Spider-Man,Marvel Comics,2014-02-23,Dan Slott | Humberto Ramos | Marcos Martin,,0
"Goblin Nation, Part 1",Regular Giuseppe Camuncoli Cover,27A,1,Superior Spider-Man,Marvel Comics,2014-02-23,"Dan Slott | Giuseppe Camuncoli | John Dell, III",,0
"Goblin Nation, Part 2",Regular Giuseppe Camuncoli Cover,28A,1,Superior Spider-Man,Marvel Comics,2014-03-22,"Dan Slott | Giuseppe Camuncoli | John Dell, III",,0
"Goblin Nation, Part Three",Regular Giuseppe Camuncoli Cover,29A,1,Superior Spider-Man,Marvel Comics,2014-03-22,Christos N. Gage | Dan Slott | Giuseppe Camuncoli,,0
Goblin Nation,Regular Giuseppe Camuncoli Cover,30,1,Superior Spider-Man,Marvel Comics,2014-03-29,Christos N. Gage | Dan Slott | Nathan Edmondson,,0
Edge of Spider-Verse,Regular Giuseppe Camuncoli Cover,32A,1,Superior Spider-Man,Marvel Comics,2014-08-16,Christos N. Gage | Dan Slott | Adam Kubert,,0
Edge of Spider-Verse,Regular Giuseppe Camuncoli Cover,33A,1,Superior Spider-Man,Marvel Comics,2014-10-04,Christos N. Gage | Dan Slott | Miguel Angel Sepulveda,,0
Hostage Crisis,N/A,1,1,Superior Spider-Man Annual,Marvel Comics,2014-02-23,Christos N. Gage | Javier Rodriguez | Álvaro López,,0
N/A,N/A,2,1,Superior Spider-Man Annual,Marvel Comics,2014-03-23,Christos N. Gage | Javier Rodriguez | Phillipe Briones,,0
A Day In Someone Else's Life,Regular Paolo Rivera Cover,1A,1,Superior Spider-Man Team-Up,Marvel Comics,2014-02-23,Christopher Yost | David López | Andy Owens,,0
Sibling Rivalry,N/A,2,1,Superior Spider-Man Team-Up,Marvel Comics,2014-02-23,Christopher Yost | Marco Checchetto,,0
Infinity,N/A,3,1,Superior Spider-Man Team-Up,Marvel Comics,2014-02-23,Robert Rodi | Michael del Mundo,,0
Missing Villains Not Missed,N/A,5,1,Superior Spider-Man Team-Up,Marvel Comics,2014-02-23,Christopher Yost | Marco Checchetto,,0
N/A,N/A,7,1,Superior Spider-Man Team-Up,Marvel Comics,2014-02-23,Christopher Yost | Paco Diaz Luque | Marco Checchetto,,0
N/A,N/A,8,1,Superior Spider-Man Team-Up,Marvel Comics,2014-02-23,Christopher Yost | Will Sliney,,0
The Arms of the Octopus - Part 3: With Mercy For The Greedy,Regular Alexander Lozano Cover,1A,1,Superior Spider-Man Team-Up Special,Marvel Comics,2014-02-23,Mike Costa | Michael Dialynas,,0
N/A,Regular Travis Charest Cover,1A,2,Superior Spider-Man,Marvel Comics,2020-12-17,Christos N. Gage | Mike Hawthorne | Wade von Grawbadger,,0
N/A,Regular Travis Charest Cover,2A,2,Superior Spider-Man,Marvel Comics,2020-12-17,Christos N. Gage | Mike Hawthorne | Wade von Grawbadger,,0
N/A,Regular Travis Charest Cover,3A,2,Superior Spider-Man,Marvel Comics,2020-12-17,Christos N. Gage | Mike Hawthorne | Wade von Grawbadger,,0
N/A,Regular Travis Charest Cover,4A,2,Superior Spider-Man,Marvel Comics,2020-12-17,Christos N. Gage | Mike Hawthorne | Wade von Grawbadger,,0
N/A,Regular Jorge Coelho Cover,5A,2,Superior Spider-Man,Marvel Comics,2020-12-17,Christos N. Gage | Mike Hawthorne | Wade von Grawbadger,,0
N/A,N/A,6,2,Superior Spider-Man,Marvel Comics,2020-12-17,Christos N. Gage | Mike Hawthorne | Wade von Grawbadger,,0
The War of the Realms,N/A,7,2,Superior Spider-Man,Marvel Comics,2020-12-17,Christos N. Gage | Lan Medina | Cam Smith,,0
War of the Realms,N/A,8,2,Superior Spider-Man,Marvel Comics,2020-12-17,Christos N. Gage | Lan Medina | Cam Smith,,0
N/A,N/A,9,2,Superior Spider-Man,Marvel Comics,2020-12-17,Christos N. Gage | Mike Hawthorne | Wade von Grawbadger,,0
N/A,N/A,10,2,Superior Spider-Man,Marvel Comics,2020-12-17,Christos N. Gage | Mike Hawthorne | Wade von Grawbadger,,0
N/A,N/A,11,2,Superior Spider-Man,Marvel Comics,2020-12-17,Christos N. Gage | Mike Hawthorne | Wade von Grawbadger,,0
N/A,N/A,12,2,Superior Spider-Man,Marvel Comics,2020-12-28,Christos N. Gage | Mike Hawthorne | Wade von Grawbadger,,0
"Brainiac, Chapter One",Regular Wilfredo Torres Cover,1A,1,Superman '78,DC Comics,2021-09-17,Robert Venditti | Wilfredo Torres,,0
N/A,Bryan Hitch Variant Cover,2B,1,Superman '78,DC Comics,2021-10-01,Robert Venditti | Wilfredo Torres,,0
N/A,Lee Weeks Card Stock Variant,3B,1,Superman '78,DC Comics,2021-11-03,Robert Venditti | Wilfredo Torres,,0
"The World's Finest, Part 1",Batman Cover,1B,1,Superman / Batman,DC Comics,2014-02-23,"Jeph Loeb | Edward McGuinness, Jr. | Dexter Vines",,0
"The World's Finest, Part 2: Early Warning",N/A,2,1,Superman / Batman,DC Comics,2016-06-09,"Jeph Loeb | Edward McGuinness, Jr. | Dexter Vines",,0
Power Couple,Tony Daniel Regular Wraparound Gatefold Cover,1A,1,Superman / Wonder Woman,DC Comics,2014-02-23,Charles Soule | Tony S. Daniel | Matt Banning,,0
Gods And Monsters,N/A,2A,1,Superman / Wonder Woman,DC Comics,2014-02-23,Charles Soule | Tony S. Daniel | Sandu Florea,,0
Zod,Tony S. Daniel Regular Cover,3A,1,Superman / Wonder Woman,DC Comics,2014-02-23,Charles Soule | Tony S. Daniel | Matt Banning,,0
What Any Man Would Do / The Blog Read Around The World,Tony S. Daniel Regular Cover,4A,1,Superman / Wonder Woman,DC Comics,2014-02-23,Charles Soule | Paulo Siqueira | Tony S. Daniel,,0
Reflections,Tony Daniel Regular Cover,5A,1,Superman / Wonder Woman,DC Comics,2014-02-23,Charles Soule | Tony S. Daniel | Sandu Florea,,0
Until The End,Tony S. Daniel Regular Cover,6A,1,Superman / Wonder Woman,DC Comics,2014-06-12,Charles Soule | Tony S. Daniel | Sandu Florea,,0
"Prelude to Superman Doomed, Rise",N/A,7A,1,Superman / Wonder Woman,DC Comics,2014-04-21,Charles Soule | Barry Kitson | Eddy Barrows,,0
Doomed: Infected,Regular Cover - Tony Daniel,8A,1,Superman / Wonder Woman,DC Comics,2014-05-16,Charles Soule | Tony S. Daniel | Sandu Florea,,0
Doomed: Enemy of the State,N/A,9,1,Superman / Wonder Woman,DC Comics,2014-06-14,Charles Soule | Tony S. Daniel | Sandu Florea,,0
[Enemy of the State],DC Bombshells variant,9B,1,Superman / Wonder Woman,DC Comics,2014-06-12,Charles Soule | Tony S. Daniel | Sandu Florea,,0
"Doomed: Superdoom, Chapter 2: Distance",N/A,10A,1,Superman / Wonder Woman,DC Comics,2014-09-01,Charles Soule | Pascal Alixe | Paulo Siqueira,,0
Superman Doomed - Doomed: Last Sun,N/A,11A,1,Superman / Wonder Woman,DC Comics,2014-09-01,Charles Soule | Thony Silas,,0
"Superman Doomed - Doomed: Aftermath, Metaphormorphosis",Regular Cover - Tony Daniel,12A,1,Superman / Wonder Woman,DC Comics,2014-10-18,Charles Soule | Jack Herbert | Walden Wong,,0
"Superman Doomed - [Aftermath], Metaphormorphosis",Monsters of the Month Variant Cover - Bill Sienkiewicz,12B,1,Superman / Wonder Woman,DC Comics,2014-10-18,Charles Soule | Jack Herbert | Walden Wong,,0
Casualties Of War,N/A,17A,1,Superman / Wonder Woman,DC Comics,2015-08-04,Peter J. Tomasi | Ed Benes | Doug Mahnke,,0
"Truth - Dark Truth, Part One",Cliff Chiang Joker 75th Anniversary Variant Cover,18B,1,Superman / Wonder Woman,DC Comics,2015-08-04,Peter J. Tomasi | Doug Mahnke | Ray McCarthy,,0
"Truth - Dark Truth, Part Two",Doug Mahnke Regular Cover,19A,1,Superman / Wonder Woman,DC Comics,2015-08-04,Peter J. Tomasi | Doug Mahnke | Jaime Mendoza,,0
